Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",5135,147581,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(i) Treasury Bills and other short term paper,0,124487,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(ii)Other securities,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(i) Debt,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(ii) Shares,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(ii) To regulated financial institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(v) Lease receivables,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(vi) To individuals for non-business purposes,0,5904260,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
Of (A) Secured by residential property,0,963653,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
which: (B) Secured by other than residential property,0,684248,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(viii) To individuals and others for business purposes,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
Of (A) Secured by residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
which: (B) Secured by other than residential property,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(A) Insured,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(B) Of which: NHA MBS pooled and unsold,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(C) Uninsured,0,324815,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(ii) Non-residential,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"5. Land, buildings, and equipment, less accumulated depreciation",0,38842,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(b) Accrued interest,0,88705,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(c) Prepaid and deferred charges,0,25659,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(d) Goodwill,0,612260,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(i) with definite lives,0,195882,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(ii) with indefinite lives,0,15134,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(f) Deferred tax assets,0,30097,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(g) Derivatives related amounts,0,13750,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Fairstone Bank of Canada"
