0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",6048,516162,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,459825,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,44732,551363,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(ii)Other securities,0,1188781,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(i) Debt,143918,358154,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(ii) Shares,0,3558,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(v) Lease receivables,7139,1028829,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,1001133,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,846172,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,16383,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,299095,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(viii) To individuals and others for business purposes,53305,914487,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
Of (A) Secured by residential property,0,8370,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
which: (B) Secured by other than residential property,53305,906117,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(A) Insured,0,1692993,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars), Coast Capital Savings Federal Credit Union, As At April 30, 2022, (in thousands of dollars)"
