0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",2217,109719,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",1534107,40101630,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(ii)Other securities,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(i) Debt,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(ii) Shares,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(v) Lease receivables,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,1485580,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,470822,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(A) Insured,0,832834,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(C) Uninsured,0,7962090,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(ii) Non-residential,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,31559,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(b) Accrued interest,8360,222835,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,12587,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(d) Goodwill,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(i) with definite lives,0,69569,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(f) Deferred tax assets,0,21,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(j) Other,94,42900,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
Total  Assets,1544778,50871324,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"Tangerine Bank, As At June 30, 2023, (in thousands of dollars), Tangerine Bank, As At June 30, 2023, (in thousands of dollars)"
