0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",0,127890,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,114796,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii)Other securities,0,984,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Debt,0,17638,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Shares,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,4693,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(v) Lease receivables,87058,428450,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,2277214,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,2273198,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,14680,186936,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,14680,186936,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(A) Insured,0,45573,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(C) Uninsured,0,537997,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Non-residential,0,250295,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,9325,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(b) Accrued interest,0,19543,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(c) Prepaid and deferred charges,0,23565,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(d) Goodwill,0,5753,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) with definite lives,0,3066,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) with indefinite lives,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(f) Deferred tax assets,0,2579,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(g) Derivatives related amounts,0,1177,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Interests in associates and joint ventures,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(j) Other,0,5040,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
Total  Assets,101738,4062514,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
Section II - Liabilities,Foreign Currency,Total,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
1. Demand and notice deposits,1. Demand and notice deposits,1. Demand and notice deposits,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Tax sheltered,0,1823,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Other,0,539368,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(e) Other,0,564,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
2. Fixed-term deposits,2. Fixed-term deposits,2. Fixed-term deposits,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(a) Federal and Provincial,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(b) Municipal or School Corporations,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(c) Deposit-taking institutions,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(d) Individuals,(d) Individuals,(d) Individuals,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Tax-sheltered,0,43282,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Other,0,2761594,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(e) Others,0,311,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
3. Cheques and other items in transit,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
4. Advances from the Bank of Canada,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
5. Acceptances,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
6. Other liabilities,6. Other liabilities,6. Other liabilities,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
"(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","(a) Liabilities of subsidiaries, other than deposits","VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Call and other short loans payable,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Other,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(b) Insurance-related liabilities,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(c) Accrued interest,0,51317,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(d) Mortgages and loans payable,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(e) Income taxes,(e) Income taxes,(e) Income taxes,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(i) Current,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
(ii) Deferred,0,0,"VersaBank, As At August 31, 2023, (in thousands of dollars), VersaBank, As At August 31, 2023, (in thousands of dollars)"
