0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",301,2015,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",45805,239505,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,79682,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
(ii)Other securities,0,0,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
(i) Debt,0,0,"KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars), KEB Hana Bank Canada, As At December 31, 2021, (in thousands of dollars)"
