0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",1578,2836,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51185,353294,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(ii)Other securities,0,50673,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(i) Debt,68602,119187,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(ii) Shares,0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(ii) To regulated financial institutions,84473,84473,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(iv) To foreign governments,0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(v) Lease receivables,0,0,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
(vi) To individuals for non-business purposes,37,14182,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
Of (A) Secured by residential property,0,10051,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,3799,"Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars), Industrial and Commercial Bank of China (Canada), As At December 31, 2019, (in thousands of dollars)"
