0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",847,28050,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,4942,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(ii)Other securities,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(i) Debt,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(ii) Shares,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(v) Lease receivables,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,0,0,"J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars), J.P. Morgan Bank Canada, As At April 30, 2023, (in thousands of dollars)"
