0,1,2,P_Tags
Section I - Assets,Foreign Currency,Total Currency,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",450,58476,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",51721,99645,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
2. Securities,2. Securities,2. Securities,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(i) Treasury Bills and other short term paper,0,267626,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(ii)Other securities,0,199583,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(i) Debt,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(ii) Shares,1648,1648,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
3. Loans,3. Loans,3. Loans,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(ii) To regulated financial institutions,16369,16369,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(iv) To foreign governments,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(v) Lease receivables,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(vi) To individuals for non-business purposes,10566,22963,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,10566,20934,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(vii) Reverse repurchase agreements,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(viii) To individuals and others for business purposes,891205,1390427,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
Of (A) Secured by residential property,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
which: (B) Secured by other than residential property,764199,980156,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(i) Residential,(i) Residential,(i) Residential,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(A) Insured,0,2352171,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(B) Of which: NHA MBS pooled and unsold,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(C) Uninsured,0,1365243,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(D) Reverse Mortgages,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(ii) Non-residential,0,61605,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"5. Land, buildings, and equipment, less accumulated depreciation",0,5271,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(a) Insurance-related assets,0,0,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
(b) Accrued interest,5123,12495,"ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars), ICICI Bank Canada, As At July 31, 2023, (in thousands of dollars)"
